event_type,n,momentum_rate,avg_range,avg_volume,avg_dist_midnight,reversal_rate,edge,direction
US Congressional Elections,5,0.6,0.11992412883859946,1406.4,0.9684329313532615,0.4,9.999999999999998,MOMENTUM
US Core CPI m/m,164,0.5914634146341463,0.28538728040451516,1698.658536585366,0.027353450538379544,0.4085365853658537,9.14634146341463,MOMENTUM
US Employment Cost Index q/q,12,0.5833333333333334,0.1965874097891747,1564.9166666666667,0.13110873215193602,0.41666666666666663,8.333333333333337,MOMENTUM
US Fed Chair Yellen Testifies,24,0.4166666666666667,0.10197261888137345,1465.0,0.06925405248415913,0.5833333333333333,8.333333333333332,REVERSAL
US Federal Funds Rate,87,0.5747126436781609,0.4144133429262717,3282.310344827586,0.21161395615438025,0.4252873563218391,7.471264367816088,MOMENTUM
US Prelim UoM Consumer Sentiment,119,0.5714285714285714,0.18027455582182694,2220.1932773109243,0.02252847962127175,0.4285714285714286,7.14285714285714,MOMENTUM
US PPI m/m,161,0.5714285714285714,0.17385368008079385,1063.2298136645963,0.0059000419245929655,0.4285714285714286,7.14285714285714,MOMENTUM
US FOMC Statement,121,0.5702479338842975,0.37342747520844566,2974.5206611570247,0.13752243366058778,0.4297520661157025,7.024793388429751,MOMENTUM
US Fed Chairman Powell Testifies,16,0.4375,0.11334466058582844,1704.0,0.15159643347146573,0.5625,6.25,REVERSAL
US Flash Manufacturing PMI,45,0.4444444444444444,0.16877215906144935,2852.9777777777776,0.18193394044093314,0.5555555555555556,5.555555555555558,REVERSAL
US Core PCE Price Index m/m,54,0.5555555555555556,0.30552537975572663,2349.6666666666665,-0.024047961434041594,0.4444444444444444,5.555555555555558,MOMENTUM
US Trade Balance,66,0.45454545454545453,0.11403729509747129,507.45454545454544,0.0379373819719776,0.5454545454545454,4.545454545454547,REVERSAL
US Pending Home Sales m/m,57,0.543859649122807,0.12567800726088985,1387.5087719298247,0.32662796928889026,0.45614035087719296,4.385964912280704,MOMENTUM
US ISM Services PMI,175,0.5428571428571428,0.1844154505111844,2587.0685714285714,0.09514220010187785,0.4571428571428572,4.285714285714281,MOMENTUM
US New Home Sales,56,0.4642857142857143,0.1506008590604922,1709.0357142857142,-0.049755354390883105,0.5357142857142857,3.57142857142857,REVERSAL
US CB Consumer Confidence,149,0.4697986577181208,0.15419211690625761,2178.1677852348994,0.024681016438578594,0.5302013422818792,3.0201342281879207,REVERSAL
US Crude Oil Inventories,151,0.5298013245033113,0.08335576261383963,1308.3112582781457,0.04606142971511578,0.4701986754966887,2.98013245033113,MOMENTUM
US Unemployment Rate,171,0.47368421052631576,0.4379236357410488,2578.5789473684213,-0.0033994948095520776,0.5263157894736843,2.631578947368424,REVERSAL
US Non-Farm Employment Change,171,0.47368421052631576,0.4379236357410488,2578.5789473684213,-0.0033994948095520776,0.5263157894736843,2.631578947368424,REVERSAL
US Core Retail Sales m/m,187,0.5240641711229946,0.1722973898622562,1004.3850267379679,0.017498419729481043,0.47593582887700536,2.4064171122994638,MOMENTUM
